city,model,disease,n_total,n_valid,n_invalid,accuracy,precision_macro,recall_macro,f1_macro
Dublin,chatgpt5,aggregate,100,100,0,0.89,0.7072079772079773,0.7051147793582628,0.7038656693829107
Dublin,chatgpt5,cancer,43,43,0,0.9069767441860465,0.729059829059829,0.7263305322128851,0.7273015873015873
Dublin,chatgpt5,cardiovascular,41,41,0,0.8780487804878049,0.7155080213903744,0.69109243697479,0.6882352941176471
Dublin,chatgpt5,respiratory,16,16,0,0.875,0.6599999999999999,0.7214285714285714,0.6671550671550671
Dublin,claude,aggregate,100,100,0,0.85,0.6561647361647361,0.6685380434007219,0.6606800090563972
Dublin,claude,cancer,43,43,0,0.8837209302325582,0.7044257703081233,0.6739495798319328,0.6813917927913871
Dublin,claude,cardiovascular,41,41,0,0.8536585365853658,0.6814393939393939,0.679327731092437,0.668997668997669
Dublin,claude,respiratory,16,16,0,0.75,0.5700000000000001,0.6428571428571429,0.5833333333333333
Edinburgh,chatgpt5,aggregate,100,100,0,0.92,0.7346753246753247,0.7426630434782608,0.7367251461988304
Edinburgh,chatgpt5,cancer,52,52,0,0.9807692307692307,0.7833333333333333,0.7846153846153847,0.7833043478260869
Edinburgh,chatgpt5,cardiovascular,26,26,0,0.9230769230769231,0.74,0.7266666666666668,0.7312918660287082
Edinburgh,chatgpt5,respiratory,22,22,0,0.7727272727272727,0.571111111111111,0.6933333333333334,0.6057142857142856
Edinburgh,claude,aggregate,100,100,0,0.94,0.749780701754386,0.7503019323671497,0.749465601965602
Edinburgh,claude,cancer,52,52,0,0.9615384615384616,0.7684848484848485,0.7664335664335665,0.7669216300940439
Edinburgh,claude,cardiovascular,26,26,0,0.9615384615384616,0.7714285714285715,0.76,0.7623931623931623
Edinburgh,claude,respiratory,22,22,0,0.8636363636363636,0.7018181818181818,0.7266666666666668,0.7116908212560386
London,chatgpt5,aggregate,100,100,0,0.92,0.7443573200992556,0.7386800334168755,0.739314885888868
London,chatgpt5,cancer,54,54,0,1.0,0.8,0.8,0.8
London,chatgpt5,cardiovascular,22,22,0,0.8636363636363636,0.7142857142857142,0.7155555555555556,0.6982323232323232
London,chatgpt5,dementia_neuro,24,24,0,0.7916666666666666,0.6333333333333333,0.6314285714285715,0.6214985014985015
London,claude,aggregate,100,98,2,0.88,0.7185485080221923,0.7048122442859286,0.7114260008996851
London,claude,cancer,54,53,1,0.9629629629629629,0.7777777777777778,0.775,0.7749019607843138
London,claude,cardiovascular,22,21,1,0.9090909090909091,0.76,0.7555555555555555,0.7527777777777778
London,claude,dementia_neuro,24,24,0,0.6666666666666666,0.5452380952380953,0.5295238095238096,0.5276923076923077
