city,disease,n_samples,n_valid,n_invalid,accuracy,precision_macro,recall_macro,f1_macro
london,aggregate,100,100,0,0.92,0.930447,0.92335,0.924144
london,cancer,54,54,0,1.0,1.0,1.0,1.0
london,cardiovascular,22,22,0,0.863636,0.892857,0.894444,0.87279
london,dementia_neuro,24,24,0,0.791667,0.791667,0.789286,0.776873
edinburgh,aggregate,100,100,0,0.92,0.918344,0.928329,0.920906
edinburgh,cancer,52,52,0,0.980769,0.979167,0.980769,0.97913
edinburgh,cardiovascular,26,26,0,0.923077,0.925,0.908333,0.914115
edinburgh,respiratory,22,22,0,0.772727,0.713889,0.866667,0.757143
dublin,aggregate,100,100,0,0.89,0.88401,0.881393,0.879832
dublin,cancer,43,43,0,0.906977,0.911325,0.907913,0.909127
dublin,cardiovascular,41,41,0,0.878049,0.894385,0.863866,0.860294
dublin,respiratory,16,16,0,0.875,0.825,0.901786,0.833944
